pm1,pm10,pm25
,,9.5326
,,9.26991
,,10.008469999999999
,,9.8173
,,10.527239999999999
5.959778217385005,9.617275820500543,8.84518271362682
4.366577172062989,8.279422354758722,10.784853872525076
5.160320853957112,,8.008016315207003
,,6.596
,,6.727399999999999
,12.783,5.909
,,6.9633
,,8.2334
4.01546292771566,6.8578974891674624,5.800869665964352
2.780727734257758,,5.121337399578146
,,9.5994
,,7.3953999999999995
6.797012382113106,12.810152300647683,11.517213462372464
5.317087866878083,,7.840274483931779
11.993086482097075,,19.51286705712615
,,8.8474
,,9.2738
,,19.046983063178814
7.747216143484522,,15.884005147496028
5.5810911255411195,9.30064455266954,6.930325567246134
,,14.3498
5.6891880537460455,9.501507948008003,8.202161912780875
7.15944736595725,,12.38202389383678
,,8.224200000000002
,,7.0448
,,9.14865
3.8106383418565253,6.327274074129255,5.318375979506571
,,6.5007
7.245158085300347,,14.319466376670327
4.80332424243417,8.194429040410654,4.11928845156622
,,7.625100000000001
,,8.693200000000001
,,5.8966
,,6.3095
,,6.3318
4.723866586777936,8.421382481084041,8.474113803347889
,,6.3771
13.62559988624347,21.568064792570535,20.309700066512345
