Boro,Yr,Vol
Bronx,2007,978.5209039548023
Bronx,2008,720.9511659138078
Bronx,2009,69.05888934092758
Bronx,2010,119.10289948774059
Bronx,2011,62.585884150709134
Bronx,2012,153.3203893039717
Bronx,2013,127.9916341749631
Bronx,2014,171.19608824805582
Bronx,2015,122.84266730762627
Bronx,2016,58.7489717453505
Bronx,2017,134.58382110160588
Bronx,2018,140.44526492082827
Bronx,2019,85.80364583333333
Bronx,2020,86.477759009009
Bronx,2021,54.39269805223164
Bronx,2022,72.85135566188198
Bronx,2023,100.42338154269973
Bronx,2024,46.52869496855346
Brooklyn,2007,247.15040338071455
Brooklyn,2008,245.7571171171171
Brooklyn,2009,56.37596818086665
Brooklyn,2010,81.2728427581311
Brooklyn,2011,90.00291751120939
Brooklyn,2012,71.25784340901646
Brooklyn,2013,85.89852043801721
Brooklyn,2014,76.40619282839371
Brooklyn,2015,113.1314463900216
Brooklyn,2016,88.61496757964132
Brooklyn,2017,64.21753226114042
Brooklyn,2018,56.804779449391056
Brooklyn,2019,170.35739681997896
Brooklyn,2020,79.54879981884058
Brooklyn,2021,144.3104331221248
Brooklyn,2022,86.56183678864092
Brooklyn,2023,168.5789953697208
Brooklyn,2024,84.20536747685185
Manhattan,2000,189.66318537859007
Manhattan,2006,732.7846385542168
Manhattan,2007,2700.2844036697247
Manhattan,2008,367.55053547523426
Manhattan,2009,95.39292420199625
Manhattan,2010,143.08086968049847
Manhattan,2011,117.00812864463686
Manhattan,2012,172.3022660226278
Manhattan,2013,160.31918700350676
Manhattan,2014,127.24464328568
Manhattan,2015,108.71508548948404
Manhattan,2016,135.14331402887026
Manhattan,2017,136.0344534962661
Manhattan,2018,222.03172326513393
Manhattan,2019,111.50634388216422
Manhattan,2020,123.12282608695652
Manhattan,2021,113.91232562841162
Manhattan,2022,250.22089174454828
Manhattan,2023,109.86825396825397
Manhattan,2024,73.87780448717949
Queens,2007,187.8791872597474
Queens,2008,182.07590475371788
Queens,2009,57.32351445916445
Queens,2010,105.38688337144724
Queens,2011,61.873008243408876
Queens,2012,92.8342545301896
Queens,2013,106.42982131439916
Queens,2014,95.44204934586004
Queens,2015,110.63042254544133
Queens,2016,145.95423003936895
Queens,2017,107.92673854898027
Queens,2018,67.51735486193243
Queens,2019,105.1102428637432
Queens,2020,147.08708333333334
Queens,2021,112.5271101822826
Queens,2022,102.66165444851715
Queens,2023,193.52805962670675
Queens,2024,96.42807112068965
Staten Island,2000,86.5377855887522
Staten Island,2008,322.2193308550186
Staten Island,2009,53.22301058168696
Staten Island,2010,23.91161231331911
Staten Island,2011,72.43946078431372
Staten Island,2012,62.595383965353335
Staten Island,2013,48.007076514816454
Staten Island,2014,66.7580875356803
Staten Island,2015,145.02382109868742
Staten Island,2016,78.52798036465639
Staten Island,2017,129.07147838214783
Staten Island,2018,162.06324647122693
Staten Island,2019,99.86433283677378
Staten Island,2020,99.56805555555556
Staten Island,2021,173.4595660749507
Staten Island,2022,199.81407942238266
Staten Island,2023,64.00611995104039
Staten Island,2024,25.4453125
