location_name,date,pm25,pm10,pm1
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T21:36:18Z,4.79,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T21:41:58Z,4.66,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T21:47:37Z,4.4,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T21:53:17Z,4.97,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T21:58:57Z,4.89,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T22:04:37Z,4.56,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T22:10:16Z,4.42,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T22:15:56Z,5.98,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T22:21:36Z,6.19,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T22:27:15Z,4.78,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T22:32:55Z,5.2,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T22:38:35Z,5.66,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T22:44:18Z,4.74,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T22:49:57Z,8.1,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T22:55:37Z,5.42,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T23:01:17Z,5.95,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T23:06:56Z,5.97,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T23:12:36Z,4.88,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T23:18:15Z,5.36,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T23:23:55Z,5.68,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T23:29:35Z,5.42,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T23:35:14Z,4.86,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T23:40:57Z,6.01,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T23:46:37Z,5.31,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T23:52:17Z,5.97,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T23:57:56Z,5.33,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T00:03:36Z,6.08,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T00:09:16Z,4.61,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T00:14:55Z,5.53,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T00:20:35Z,5.69,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T00:26:15Z,4.82,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T00:31:54Z,4.99,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T00:37:37Z,7.49,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T00:43:17Z,5.4,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T00:48:57Z,5.23,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T00:54:36Z,4.74,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T01:00:19Z,5.02,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T01:05:59Z,4.83,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T01:11:39Z,6.08,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T01:17:19Z,4.7,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T01:22:58Z,5.19,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T01:28:38Z,5.21,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T01:34:18Z,5.1,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T01:39:58Z,5.72,,
